,prio0:category,prio1:latexA,prio2:latexB,prio3:htmlA,prio4:htmlB,prio5:shortA,prio6:shortB,prio7:shortC
‖,sym.bar_vertical_double,\Vert,,&Verbar,&vert,,,
⦀,sym.bar_vertical_tripple,\Vvert,,,,,,
­,sym.dash_soft,\-,,&shy,,,,
‘,sym.quotesingle.left,,,&lsquo,,,,
’,sym.quotesingle.right,,,&rsquo,&rsquor,,,
‚,sym.quotesingle.low,,,&sbquo,&lsquor,,,
“,sym.quotedouble.left,,,&ldquo,,,,
”,sym.quotedouble.right,,,&rdquo,&rdquor,,,
„,sym.quotedouble.low,,,&bdquo,&ldquor,,,
",",sym.comma,\mathcomma,,,,,,
:,sym.colon,\mathcolon,,,,,,
;,sym.semicolon,\mathsemicolon,,,,,,
⁏,sym.semicolon_rev,,,,&bsemi,,,
⁃,sym.bullet_hyphen,\hyphenbullet,,,&hybull,,,
¨,sym.double_dot,,,&DoubleDot,&uml,,,
¯,sym.macr,,,&OverBar,&macr,,,
‾,sym.oline,,,,&oline,,,
´,sym.acute,,,&DiacriticalAcute,&acute,,,
‥,sym.ellipsis2,,,,&nldr,,..,
…,sym.ellipsis3,,,&hellip,&mldr,,...,
‸,sym.caret,\caretinsert,,,&caret,caret,,
※,sym.reference_mark,,,,,refmark,,
•,sym.bullet_round,\smblkcircle,,&bullet,&bull,,,
‣,sym.bullet_triangle,,,,,,,
‰,sym.per_mile,,,&permil,,,%%,
‱,sym.per_ten_thousend,,,&perenk,,,%%%,
′,sym.prime1,\prime,,&prime,,,',
″,sym.prime2,\dprime,,&Prime,,,'',
‴,sym.prime3,\trprime,,&tprime,,,''',
⁗,sym.prime4,\qprime,,&qprime,,,'''',
‵,sym.prime1r,\backprime,,&backprime,&bprime,,'r,
‶,sym.prime2r,\backdprime,,,,,''r,
‷,sym.prime3r,\backtrprime,,,,,'''r,
☼,sym.weather.sun,\sun,,,,,,
☁,sym.weather.raincloud,,,,,,,
☂,sym.weather.umbrella,,,,,,,
❆,sym.weather.snowflake_a,,,,,,,
❅,sym.weather.snowflake_b,,,,,,,
☃,sym.weather.snowman,,,,,,,
ϟ,sym.weather.lightning,,,,,,,
☽,sym.moon_right,\rightmoon,,,,,,
☾,sym.moon_left,\leftmoon,,,,,,
☄,sym.comet,,,,,,,
★,sym.star_black,\bigstar,,,,starb,,
☆,sym.star_white,\bigwhitestar,,,,starw,,
⛤,sym.star_pentagram,,,,,pent,,
♂,sym.male,\male,,,,male,,
♀,sym.female,\female,,,,female,,
⚥,sym.male_female,\Hermaphrodite,,,,,,
⚲,sym.neuter,\neuter,,,,,,
☚,sym.pointinghand_black_left,,,,,,,
☜,sym.pointinghand_white_left,,,,,,,
☛,sym.pointinghand_black_right,,,,,handb,,
☞,sym.pointinghand_white_right,,,,,handw,,
☝,sym.pointinghand_white_up,,,,,,,
☟,sym.pointinghand_white_down,,,,,,,
○,sym.circle.white,\mdlgwhtcircle,,,,,,
■,sym.square_black,\blacksquare,,,,,,
□,sym.square_white,\square,,,,,,
◀,sym.triangle_left_black,\blacktriangleleft,,,,,,
◁,sym.triangle_left_white,\vartriangleleft,,,,,,
▲,sym.triangle_up_black,\blacktriangle,,,,,,
△,sym.triangle_up_white,\vartriangle,,,,,,
▶,sym.triangle_right_black,\blacktriangleright,,,,,,
▷,sym.triangle_right_white,\vartriangleright,,,,,,
▼,sym.triangle_down_black,\blacktriangledown,,,,,,
▽,sym.triangle_down_white,\triangledown,,,,,,
⧫,sym.diamond_black,\blacklozenge,,,,,,
◊,sym.diamond_white,\lozenge,,&loz,,,,
⧗,sym.hourglass_black,\blackhourglass,,,,,,
⧖,sym.hourglass_white,\hourglass,,,,,,
♠,sym.card.spades_black,\spadesuit,,&spades,,,,
♤,sym.card.spades_white,\varspadesuit,,,,,,
♣,sym.card.clubs_black,\clubsuit,,&clubs,,,,
♧,sym.card.clubs_white,\varclubsuit,,,,,,
♥,sym.card.hearts_black,\varheartsuit,,&hearts,,,,
♡,sym.card.hearts_white,\heartsuit,,,,,,
♦,sym.card.diams_black,\vardiamondsuit,,&diams,,,,
♢,sym.card.diams_white,\diamondsuit,,,,,,
♩,sym.music.note_quater,\quarternote,,,,,,
